Timestamp,temperature1,temperature2,humidity1,humidity2
2024-03-12 10:00:00,25.3,26.1,45,50
2024-03-12 10:01:00,30.5,31.3,55,60
2024-03-12 10:02:00,35.4,36.2,65,70
2024-03-12 10:03:00,40.6,41.4,75,80
2024-03-12 10:04:00,45.7,46.5,85,90
2024-03-12 10:05:00,50.8,51.6,95,100
2024-03-12 10:06:00,55.9,56.7,105,110
2024-03-12 10:07:00,60.0,61.8,115,120
2024-03-12 10:08:00,65.1,66.9,125,130
2024-03-12 10:09:00,70.2,71.0,135,140
2024-03-12 10:10:00,75.3,76.1,145,155
2024-03-12 10:11:00,80.4,81.2,155,160
2024-03-12 10:12:00,85.5,86.3,165,170
2024-03-12 10:13:00,90.6,91.4,175,180
2024-03-12 10:14:00,95.7,96.5,185,190
2024-03-12 10:15:00,100.8,101.6,195,200
2024-03-12 10:16:00,105.9,106.7,205,210
2024-03-12 10:17:00,110.0,111.8,215,220
2024-03-12 10:18:00,115.1,116.9,225,23
2024-03-12 10:19:00,120.2,121.0,235,240
2024-03-12 10:20:00,12.2,12.0,23,243
2024-03-12 10:21:00,1200,120,23,2430
